cooler_id,cooler_name,total_doors,total_width_mm,total_height_mm,total_depth_mm,door_index,door_label,shelf_id,shelf_index,tier,tier_label,usable_width_mm,usable_depth_mm,clearance_height_mm,max_weight_kg,eye_level_score,has_pusher_track,cooling_zone
COOLER-2DOOR-STD,Standard 2-Door Commercial Glass Cooler,2,1340,1980,720,1,Door 1 (Left - Core & Flavours),D1-S1,1,top,Top Shelf,610,550,270,45.0,0.60,TRUE,Chilled (2-4°C)
COOLER-2DOOR-STD,Standard 2-Door Commercial Glass Cooler,2,1340,1980,720,1,Door 1 (Left - Core & Flavours),D1-S2,2,reach_level,Upper Reach,610,550,280,45.0,0.85,TRUE,Chilled (2-4°C)
COOLER-2DOOR-STD,Standard 2-Door Commercial Glass Cooler,2,1340,1980,720,1,Door 1 (Left - Core & Flavours),D1-S3,3,eye_level,Eye-Level Golden Zone,610,550,300,50.0,1.00,TRUE,Chilled (2-4°C)
COOLER-2DOOR-STD,Standard 2-Door Commercial Glass Cooler,2,1340,1980,720,1,Door 1 (Left - Core & Flavours),D1-S4,4,touch_level,Mid-Lower Shelf,610,550,310,50.0,0.75,TRUE,Chilled (2-4°C)
COOLER-2DOOR-STD,Standard 2-Door Commercial Glass Cooler,2,1340,1980,720,1,Door 1 (Left - Core & Flavours),D1-S5,5,bottom,Bottom Base Shelf,610,580,370,65.0,0.40,FALSE,Chilled (2-4°C)
COOLER-2DOOR-STD,Standard 2-Door Commercial Glass Cooler,2,1340,1980,720,2,Door 2 (Right - Energy & Hydration),D2-S1,1,top,Top Shelf,610,550,270,45.0,0.60,TRUE,Chilled (2-4°C)
COOLER-2DOOR-STD,Standard 2-Door Commercial Glass Cooler,2,1340,1980,720,2,Door 2 (Right - Energy & Hydration),D2-S2,2,reach_level,Upper Reach,610,550,280,45.0,0.85,TRUE,Chilled (2-4°C)
COOLER-2DOOR-STD,Standard 2-Door Commercial Glass Cooler,2,1340,1980,720,2,Door 2 (Right - Energy & Hydration),D2-S3,3,eye_level,Eye-Level Golden Zone,610,550,300,50.0,1.00,TRUE,Chilled (2-4°C)
COOLER-2DOOR-STD,Standard 2-Door Commercial Glass Cooler,2,1340,1980,720,2,Door 2 (Right - Energy & Hydration),D2-S4,4,touch_level,Mid-Lower Shelf,610,550,310,50.0,0.75,TRUE,Chilled (2-4°C)
COOLER-2DOOR-STD,Standard 2-Door Commercial Glass Cooler,2,1340,1980,720,2,Door 2 (Right - Energy & Hydration),D2-S5,5,bottom,Bottom Base Shelf,610,580,370,65.0,0.40,FALSE,Chilled (2-4°C)
COOLER-1DOOR-COMPACT,Compact 1-Door Express Cooler,1,700,1950,650,1,Door 1 (Single Bay),D1-S1,1,top,Top Shelf,610,500,270,40.0,0.60,TRUE,Chilled (2-4°C)
COOLER-1DOOR-COMPACT,Compact 1-Door Express Cooler,1,700,1950,650,1,Door 1 (Single Bay),D1-S2,2,reach_level,Upper Reach,610,500,280,40.0,0.85,TRUE,Chilled (2-4°C)
COOLER-1DOOR-COMPACT,Compact 1-Door Express Cooler,1,700,1950,650,1,Door 1 (Single Bay),D1-S3,3,eye_level,Eye-Level Golden Zone,610,500,300,45.0,1.00,TRUE,Chilled (2-4°C)
COOLER-1DOOR-COMPACT,Compact 1-Door Express Cooler,1,700,1950,650,1,Door 1 (Single Bay),D1-S4,4,bottom,Bottom Shelf,610,520,380,55.0,0.45,FALSE,Chilled (2-4°C)
COOLER-3DOOR-HYPER,Hypermarket 3-Door Beverage Showcase,3,2050,2020,750,1,Door 1 (Left - Core CSD & Flavours),D1-S1,1,top,Top Shelf,630,580,270,50.0,0.60,TRUE,Chilled (2-4°C)
