sku_id,name,brand,sub_brand,category,sub_category,flavor,sugar_type,pack_type,pack_material,pack_size_ml,pack_size_label,width_mm,height_mm,depth_mm,weight_g,unit_cost,unit_price,margin,sales_velocity_units_day,min_facings,max_facings,case_pack_units,is_core_sku,color_hex,image_emoji
CC-ORIG-330,Coca-Cola Original 330ml Can,Coca-Cola,Classic,Carbonated Soft Drinks,Cola,Original,Regular,Can,Aluminium,330,330ml,66,115,66,355,0.45,1.50,1.05,48.0,2,5,24,TRUE,#E61B23,🥤
CC-ZERO-330,Coca-Cola Zero Sugar 330ml Can,Coca-Cola,Zero Sugar,Carbonated Soft Drinks,Cola,Zero Sugar,Zero Sugar,Can,Aluminium,330,330ml,66,115,66,340,0.45,1.50,1.05,38.5,2,4,24,TRUE,#1E1E1E,🥤
CC-DIET-330,Diet Coke 330ml Can,Coca-Cola,Diet,Carbonated Soft Drinks,Cola,Diet,Diet,Can,Aluminium,330,330ml,66,115,66,340,0.45,1.50,1.05,26.0,1,3,24,TRUE,#A0A0A0,🥤
CC-CHRY-330,Coca-Cola Cherry 330ml Can,Coca-Cola,Flavors,Carbonated Soft Drinks,Cola,Cherry,Regular,Can,Aluminium,330,330ml,66,115,66,355,0.48,1.60,1.12,14.5,1,2,24,FALSE,#7E0D25,🍒
SP-ORIG-330,Sprite Lemon-Lime 330ml Can,Sprite,Classic,Carbonated Soft Drinks,Lemon-Lime,Original,Regular,Can,Aluminium,330,330ml,66,115,66,350,0.42,1.45,1.03,29.0,1,3,24,TRUE,#008B45,🍋
SP-ZERO-330,Sprite Zero Sugar 330ml Can,Sprite,Zero Sugar,Carbonated Soft Drinks,Lemon-Lime,Zero Sugar,Zero Sugar,Can,Aluminium,330,330ml,66,115,66,338,0.42,1.45,1.03,18.0,1,2,24,FALSE,#2E8B57,🍋
FA-ORNG-330,Fanta Orange 330ml Can,Fanta,Classic,Carbonated Soft Drinks,Fruit Soda,Citrus,Regular,Can,Aluminium,330,330ml,66,115,66,355,0.40,1.40,1.00,24.5,1,3,24,TRUE,#FF7900,🍊
FA-GRPE-330,Fanta Grape 330ml Can,Fanta,Flavors,Carbonated Soft Drinks,Fruit Soda,Berry,Regular,Can,Aluminium,330,330ml,66,115,66,355,0.40,1.40,1.00,12.0,1,2,24,FALSE,#663399,🍇
PEP-ORIG-330,Pepsi Max 330ml Can,Pepsi,Max,Carbonated Soft Drinks,Cola,Zero Sugar,Zero Sugar,Can,Aluminium,330,330ml,66,115,66,340,0.40,1.40,1.00,31.0,1,4,24,TRUE,#004B93,🥤
PEP-TWST-330,Pepsi Twist Lemon 330ml Can,Pepsi,Twist,Carbonated Soft Drinks,Cola,Citrus,Regular,Can,Aluminium,330,330ml,66,115,66,345,0.42,1.45,1.03,11.5,1,2,24,FALSE,#002F6C,🍋
